feature_1,feature_2,spearman_correlation,absolute_correlation
customer_spend_last_12w,unique_products_last_12w,0.9549949101802764,0.9549949101802764
retailer_revenue_total,unique_products,0.9542110983030996,0.9542110983030996
active_days_last_8w,active_weeks_last_8w,0.9541064112553811,0.9541064112553811
customer_spend_total,unique_products,0.9540346659162154,0.9540346659162154
gap_observation_count,mean_purchase_gap,-0.9533889666645421,0.9533889666645421
active_days,mean_purchase_gap,-0.9533889666645421,0.9533889666645421
dept_revenue_share_kiosk_gas,fuel_revenue_share,0.9507726833271467,0.9507726833271467
baskets_last_12w,active_weeks_last_12w,0.9506925115279943,0.9506925115279943
active_weeks_last_12w,weekly_basket_mean_12w,0.9506925115279943,0.9506925115279943
top_department_revenue_share,department_hhi,0.9499541238936351,0.9499541238936351
frequency_baskets,mean_purchase_gap,-0.9490578189519305,0.9490578189519305
retailer_revenue_total,unique_subcommodities,0.9457415742124261,0.9457415742124261
customer_spend_total,unique_subcommodities,0.9456751693401133,0.9456751693401133
unique_coupons_redeemed_obs,coupon_redemption_events_obs_TypeA,0.9448820394468137,0.9448820394468137
coupon_redemption_events_obs,coupon_redemption_events_obs_TypeA,0.9448116667116548,0.9448116667116548
baskets_prev_8w,active_weeks_prev_8w,0.9444226793587058,0.9444226793587058
campaigns_with_redemption_obs,coupon_redemption_events_obs_TypeA,0.9424501416359813,0.9424501416359813
retailer_revenue_total,customer_spend_last_12w,0.941279754574737,0.941279754574737
retailer_revenue_total,weekly_spend_mean_12w,0.9412792837437739,0.9412792837437739
customer_spend_total,customer_spend_last_12w,0.9412361711412134,0.9412361711412134
customer_spend_total,weekly_spend_mean_12w,0.9412356272311164,0.9412356272311164
baskets_last_8w,active_weeks_last_8w,0.9411177417506166,0.9411177417506166
coupon_redemption_events_obs_TypeA,has_redeemed_coupon,0.9406558676972095,0.9406558676972095
active_days,active_days_last_12w,0.9400065690015853,0.9400065690015853
gap_observation_count,active_days_last_12w,0.9400065690015853,0.9400065690015853
dept_revenue_share_kiosk_gas,fuel_basket_rate,0.9393636104275899,0.9393636104275899
mean_purchase_gap,median_purchase_gap,0.9391970304904322,0.9391970304904322
retailer_revenue_total,unique_commodities,0.9385259119348343,0.9385259119348343
customer_spend_total,unique_commodities,0.9384350374896797,0.9384350374896797
frequency_baskets,baskets_last_12w,0.9383721221487873,0.9383721221487873
frequency_baskets,weekly_basket_mean_12w,0.9383721221487873,0.9383721221487873
completed_campaigns_received,has_campaign_history,0.938094626466049,0.938094626466049
weekly_spend_cv_12w,weekly_basket_cv_12w,0.9366518325480417,0.9366518325480417
active_weeks_last_8w,weekly_basket_cv_12w,-0.9360066839748766,0.9360066839748766
active_days_last_4w,active_weeks_last_4w,0.9355988998662287,0.9355988998662287
unique_products,unique_products_last_12w,0.9353276934448709,0.9353276934448709
active_weeks_last_12w,weekly_spend_cv_12w,-0.9349666128758978,0.9349666128758978
active_days_last_8w,active_weeks_last_12w,0.9337978246543189,0.9337978246543189
frequency_baskets,active_days_last_12w,0.9336718938582684,0.9336718938582684
gap_observation_count,baskets_last_12w,0.9330917434209463,0.9330917434209463
gap_observation_count,weekly_basket_mean_12w,0.9330917434209463,0.9330917434209463
active_days,baskets_last_12w,0.9330917434209463,0.9330917434209463
active_days,weekly_basket_mean_12w,0.9330917434209463,0.9330917434209463
gap_observation_count,active_days_prev_8w,0.9294415198701514,0.9294415198701514
active_days,active_days_prev_8w,0.9294415198701514,0.9294415198701514
total_retail_discount,unique_products,0.9290685759371317,0.9290685759371317
retailer_revenue_total,total_retail_discount,0.9288068557493973,0.9288068557493973
retailer_revenue_total,total_discount_amount,0.9282930600594601,0.9282930600594601
unique_departments_last_12w,departments_last_8w,0.9282371478215284,0.9282371478215284
unique_departments_last_8w,unique_departments_last_12w,0.9282371478215284,0.9282371478215284
total_discount_amount,unique_products,0.9281716851697404,0.9281716851697404
customer_spend_total,total_retail_discount,0.92785370233427,0.92785370233427
active_days_last_12w,weekly_basket_cv_12w,-0.927653715052997,0.927653715052997
active_week_ratio,active_weeks_last_12w,0.9276218854181304,0.9276218854181304
active_weeks,active_weeks_last_12w,0.9276218854181304,0.9276218854181304
frequency_baskets,baskets_prev_8w,0.9273854323244366,0.9273854323244366
customer_spend_total,total_discount_amount,0.9270129822217597,0.9270129822217597
active_days_last_4w,active_days_last_8w,0.9268121277527703,0.9268121277527703
mean_purchase_gap,std_purchase_gap,0.9265284906668471,0.9265284906668471
basket_value_std,max_basket_value,0.9259304412990659,0.9259304412990659
total_coupon_discount,coupon_basket_rate,0.9256261657797961,0.9256261657797961
unique_products_last_12w,unique_subcommodities,0.9248586607903411,0.9248586607903411
baskets_last_4w,baskets_last_8w,0.9248098195495454,0.9248098195495454
dept_revenue_share_kiosk_gas,fuel_purchase_days,0.9236932292141785,0.9236932292141785
coupon_line_rate_last_4w,coupon_basket_rate_last_4w,0.923669145358433,0.923669145358433
gap_observation_count,baskets_prev_8w,0.9235926339351621,0.9235926339351621
active_days,baskets_prev_8w,0.9235926339351621,0.9235926339351621
baskets_last_8w,active_weeks_last_12w,0.922911328674459,0.922911328674459
active_weeks_last_8w,active_days_last_12w,0.9225660851074523,0.9225660851074523
frequency_baskets,active_days_prev_8w,0.9224265953016515,0.9224265953016515
baskets_last_4w,active_weeks_last_4w,0.9223616938653378,0.9223616938653378
customer_spend_last_8w,unique_products_last_12w,0.921619985108333,0.921619985108333
coupon_line_rate_prev_8w,coupon_basket_rate_prev_8w,0.9207844873201891,0.9207844873201891
coupon_line_rate_last_12w,coupon_basket_rate_last_12w,0.9205108694668814,0.9205108694668814
coupon_line_rate,coupon_basket_rate,0.9202351713932582,0.9202351713932582
coupon_line_rate_last_8w,coupon_basket_rate_last_8w,0.9198284619848853,0.9198284619848853
baskets_last_4w,active_days_last_8w,0.9197371695241972,0.9197371695241972
retailer_revenue_total,customer_spend_prev_8w,0.919280093234801,0.919280093234801
customer_spend_total,customer_spend_prev_8w,0.919255614146407,0.919255614146407
unique_products_last_8w,weekly_spend_mean_12w,0.9189774939512071,0.9189774939512071
unique_products_last_8w,customer_spend_last_12w,0.9189763383982538,0.9189763383982538
active_days_last_4w,baskets_last_8w,0.9154846600425677,0.9154846600425677
active_week_ratio,active_days_last_12w,0.914346835716743,0.914346835716743
active_weeks,active_days_last_12w,0.914346835716743,0.914346835716743
customer_spend_last_4w,customer_spend_last_8w,0.9143190673889776,0.9143190673889776
spend_change_8w,product_diversity_change_8w,0.9139372819681613,0.9139372819681613
unique_products_last_12w,unique_commodities,0.9138155800558041,0.9138155800558041
dept_revenue_share_kiosk_gas,has_fuel_purchase,0.9135605648672016,0.9135605648672016
active_week_ratio,mean_purchase_gap,-0.9126561266657636,0.9126561266657636
active_weeks,mean_purchase_gap,-0.9126561266657636,0.9126561266657636
mean_purchase_gap,active_days_last_12w,-0.9121905144034835,0.9121905144034835
active_weeks,active_weeks_prev_8w,0.9110320464797104,0.9110320464797104
active_week_ratio,active_weeks_prev_8w,0.9110320464797104,0.9110320464797104
active_weeks_last_8w,weekly_basket_mean_12w,0.9108537547114935,0.9108537547114935
active_weeks_last_8w,baskets_last_12w,0.9108537547114935,0.9108537547114935
active_week_ratio,active_days_prev_8w,0.909799954855398,0.909799954855398
active_weeks,active_days_prev_8w,0.909799954855398,0.909799954855398
total_retail_discount,unique_subcommodities,0.9088445145842464,0.9088445145842464
unique_products,unique_products_prev_8w,0.9087356881612395,0.9087356881612395
avg_basket_value,median_basket_value,0.9083784136518898,0.9083784136518898
total_discount_amount,unique_subcommodities,0.9080872176368615,0.9080872176368615
active_weeks,std_purchase_gap,-0.9073858171473907,0.9073858171473907
active_week_ratio,std_purchase_gap,-0.9073858171473907,0.9073858171473907
mean_purchase_gap,weekly_basket_mean_12w,-0.9070867341286462,0.9070867341286462
mean_purchase_gap,baskets_last_12w,-0.9070867341286462,0.9070867341286462
gap_observation_count,active_weeks_last_12w,0.9070120128931712,0.9070120128931712
active_days,active_weeks_last_12w,0.9070120128931712,0.9070120128931712
unique_products_last_4w,unique_products_last_8w,0.9064437822751379,0.9064437822751379
weekly_basket_mean_12w,weekly_basket_cv_12w,-0.9057986673097487,0.9057986673097487
baskets_last_12w,weekly_basket_cv_12w,-0.9057986673097487,0.9057986673097487
active_week_ratio,weekly_basket_mean_12w,0.9046012538354322,0.9046012538354322
active_weeks,baskets_last_12w,0.9046012538354322,0.9046012538354322
active_week_ratio,baskets_last_12w,0.9046012538354322,0.9046012538354322
active_weeks,weekly_basket_mean_12w,0.9046012538354322,0.9046012538354322
active_days_last_12w,weekly_spend_cv_12w,-0.9043475573610766,0.9043475573610766
active_weeks,weekly_basket_cv_12w,-0.9037673386839369,0.9037673386839369
active_week_ratio,weekly_basket_cv_12w,-0.9037673386839369,0.9037673386839369
retailer_revenue_total,unique_products_last_12w,0.9019546698949665,0.9019546698949665
customer_spend_total,unique_products_last_12w,0.9017041458506445,0.9017041458506445
active_weeks_last_4w,active_weeks_last_8w,0.9013082088857859,0.9013082088857859
unique_products_last_4w,unique_departments_last_4w,0.901248367918318,0.901248367918318
active_week_ratio,baskets_prev_8w,0.9008793829929942,0.9008793829929942
active_weeks,baskets_prev_8w,0.9008793829929942,0.9008793829929942
active_days_last_8w,weekly_basket_cv_12w,-0.9008095395195538,0.9008095395195538
total_coupon_discount,coupon_line_rate,0.9001394399090971,0.9001394399090971
